Interleukin-1 beta|IL1B	NEG_DISRUPTS	Diabetes	1
IL1B gene|IL1B	ASSOCIATED_WITH	Transient ischemia	1
Interleukin-1 beta|IL1B	PREDISPOSES	Disease	1
Interleukin-1 beta|IL1B	AUGMENTS	Spastic syndrome	1
IL1B gene|IL1B	ASSOCIATED_WITH	Chlamydia pneumoniae infection	1
IL1B	ASSOCIATED_WITH	Ulcerative Colitis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Keratoconus	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Atherosclerosis	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	2
IL1B	CAUSES	Nephritis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	1
Interleukin-1 beta|IL1B	AUGMENTS	Pouchitis	1
Interleukin-1 beta|IL1B	AUGMENTS	Pre-Eclampsia	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Optic Neuritis	1
IL1B	AFFECTS	Diabetic Retinopathy	1
IL1B gene|IL1B	PREDISPOSES	Chagas Cardiomyopathy	1
Interleukin-1 beta|IL1B	AFFECTS	Rheumatoid Arthritis	2
IL1B gene|IL1B	ASSOCIATED_WITH	Critical Illness	1
IL1B gene|IL1B	ASSOCIATED_WITH	Prosthetic joint infection	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diffuse panbronchiolitis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontal Diseases	3
IL1B	CAUSES	Arthritis, Gouty	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myositis, Inclusion Body	1
Interleukin-1 beta|IL1B	PREDISPOSES	Bacteremia	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Systemic juvenile chronic arthritis	2
IL1B gene|IL1B	ASSOCIATED_WITH	IGA Glomerulonephritis	1
IL1B gene|IL1B	AFFECTS	Colitis	1
Interleukin-1 beta|IL1B	PREDISPOSES	Alzheimer's Disease	1
IL1B gene|IL1B	ASSOCIATED_WITH	Glomerulonephritis	2
IL1B	CAUSES	Crohn's disease	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Periodic syndrome	1
IL1B	AUGMENTS	Central retinal vein occlusion	1
Interleukin-1 beta|IL1B	CAUSES	Periodontal Diseases	1
IL1B gene|IL1B	ASSOCIATED_WITH	Sarcoidosis	2
IL1B	ASSOCIATED_WITH	Thyroid associated opthalmopathies	1
IL1B gene|IL1B	PREDISPOSES	Alzheimer's Disease	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Stomach Diseases	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Systemic Scleroderma	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Septicemia	1
Interleukin-1 beta|IL1B	NEG_ASSOCIATED_WITH	Tuberculosis	1
IL1B gene|IL1B	AFFECTS	Coronary Arteriosclerosis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Adult periodontitis	1
Interleukin-1 beta|IL1B	AUGMENTS	Pancreatitis	1
IL1B gene|IL1B	ASSOCIATED_WITH	Alopecia Areata	1
Interleukin-1 beta|IL1B	CAUSES	Glomerulonephritis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Ischemia	1
IL1B gene|IL1B	NEG_ASSOCIATED_WITH	Malaria, Cerebral	1
IL1B gene|IL1B	ASSOCIATED_WITH	Resorption of apex of tooth	2
IL1B gene|IL1B	ASSOCIATED_WITH	Hashimoto Disease	1
Interleukin-1 beta|IL1B	CAUSES	Hyperglycemia	1
IL1B gene|IL1B	PREDISPOSES	Periodontitis	1
IL1B gene|IL1B	PREDISPOSES	Coronary Arteriosclerosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Dental caries	1
Interleukin-1 beta|IL1B	AFFECTS	Oedema auricular	1
Interleukin-1 beta|IL1B	CAUSES	Osteoporosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Tuberculosis	1
Interleukin-1 beta|IL1B	AUGMENTS	Disease	1
IL1B	ASSOCIATED_WITH	Arthritis, Psoriatic	1
IL1B	AFFECTS	destruction; bone	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Chronic prostatitis	1
IL1B gene|IL1B	AUGMENTS	Disease	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Corneal Diseases	1
IL1B gene|IL1B	ASSOCIATED_WITH	Neurodegenerative Disorders	1
IL1B gene|IL1B	ASSOCIATED_WITH	Tuberculosis, Pulmonary	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gastritis	2
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Mixed cryoglobulinemia	1
Interleukin-1 beta|IL1B	PREDISPOSES	early disease onset	1
Interleukin-1 beta|IL1B	NEG_ASSOCIATED_WITH	Endometriosis, site unspecified	1
IL1B gene|IL1B	ASSOCIATED_WITH	Cystic Fibrosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Aortic Aneurysm, Abdominal	1
Interleukin-1 beta|IL1B	AFFECTS	immunotoxicity	1
Interleukin-1 beta|IL1B	CAUSES	Virus Diseases	1
Interleukin-1 beta|IL1B	PREDISPOSES	Liver Cirrhosis, Alcoholic	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	destruction; bone	1
IL1B gene|IL1B	ASSOCIATED_WITH	Peptic Ulcer	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myelitis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Respiration Disorders	1
IL1B gene|IL1B	AFFECTS	Diabetic Nephropathy	1
IL1B	ASSOCIATED_WITH	Chronic Childhood Arthritis	1
IL1B gene|IL1B	PREDISPOSES	Febrile Convulsions	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Osteoporosis	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Meningococcal Infections	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Hereditary Periodic Fever Syndromes	1
Interleukin-1 beta|IL1B	CAUSES	Glucose Intolerance	1
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Duodenal Ulcer	3
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	AIDS Dementia Complex	1
IL1B gene|IL1B	ASSOCIATED_WITH	Pre-Eclampsia	1
IL1B	CAUSES	Chronic Childhood Arthritis	1
