Interleukin-1 beta|IL1B	NEG_DISRUPTS	Diabetes	1	13776
IL1B gene|IL1B	ASSOCIATED_WITH	Transient ischemia	1	616
Interleukin-1 beta|IL1B	PREDISPOSES	Disease	1	67526
Interleukin-1 beta|IL1B	AUGMENTS	Spastic syndrome	1	2161
IL1B gene|IL1B	ASSOCIATED_WITH	Chlamydia pneumoniae infection	1	160
IL1B	ASSOCIATED_WITH	Ulcerative Colitis	1	4355
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Keratoconus	1	747
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Atherosclerosis	2	9707
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	2	9184
IL1B	CAUSES	Nephritis	1	1430
IL1B gene|IL1B	ASSOCIATED_WITH	Diabetes Mellitus, Non-Insulin-Dependent	1	9184
Interleukin-1 beta|IL1B	AUGMENTS	Pouchitis	1	332
Interleukin-1 beta|IL1B	AUGMENTS	Pre-Eclampsia	1	5036
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Optic Neuritis	1	636
IL1B	AFFECTS	Diabetic Retinopathy	1	3526
IL1B gene|IL1B	PREDISPOSES	Chagas Cardiomyopathy	1	200
Interleukin-1 beta|IL1B	AFFECTS	Rheumatoid Arthritis	2	9872
IL1B gene|IL1B	ASSOCIATED_WITH	Critical Illness	1	2505
IL1B gene|IL1B	ASSOCIATED_WITH	Prosthetic joint infection	1	322
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Diffuse panbronchiolitis	1	195
IL1B gene|IL1B	ASSOCIATED_WITH	Periodontal Diseases	3	1992
IL1B	CAUSES	Arthritis, Gouty	1	299
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Myositis, Inclusion Body	1	312
Interleukin-1 beta|IL1B	PREDISPOSES	Bacteremia	2	2739
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Systemic juvenile chronic arthritis	2	27
IL1B gene|IL1B	ASSOCIATED_WITH	IGA Glomerulonephritis	1	1415
IL1B gene|IL1B	AFFECTS	Colitis	1	3602
Interleukin-1 beta|IL1B	PREDISPOSES	Alzheimer's Disease	1	8193
IL1B gene|IL1B	ASSOCIATED_WITH	Glomerulonephritis	2	2548
IL1B	CAUSES	Crohn's disease	1	4047
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Periodic syndrome	1	170
IL1B	AUGMENTS	Central retinal vein occlusion	1	424
Interleukin-1 beta|IL1B	CAUSES	Periodontal Diseases	1	1992
IL1B gene|IL1B	ASSOCIATED_WITH	Sarcoidosis	2	2943
IL1B	ASSOCIATED_WITH	Thyroid associated opthalmopathies	1	861
IL1B gene|IL1B	PREDISPOSES	Alzheimer's Disease	1	8193
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Stomach Diseases	1	3887
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Systemic Scleroderma	1	3256
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Septicemia	1	7818
Interleukin-1 beta|IL1B	NEG_ASSOCIATED_WITH	Tuberculosis	1	5750
IL1B gene|IL1B	AFFECTS	Coronary Arteriosclerosis	1	6617
IL1B gene|IL1B	ASSOCIATED_WITH	Adult periodontitis	1	229
Interleukin-1 beta|IL1B	AUGMENTS	Pancreatitis	1	6396
IL1B gene|IL1B	ASSOCIATED_WITH	Alopecia Areata	1	758
Interleukin-1 beta|IL1B	CAUSES	Glomerulonephritis	1	2548
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Ischemia	1	8775
IL1B gene|IL1B	NEG_ASSOCIATED_WITH	Malaria, Cerebral	1	831
IL1B gene|IL1B	ASSOCIATED_WITH	Resorption of apex of tooth	2	71
IL1B gene|IL1B	ASSOCIATED_WITH	Hashimoto Disease	1	777
Interleukin-1 beta|IL1B	CAUSES	Hyperglycemia	1	5255
IL1B gene|IL1B	PREDISPOSES	Periodontitis	1	2616
IL1B gene|IL1B	PREDISPOSES	Coronary Arteriosclerosis	1	6617
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Dental caries	1	3316
Interleukin-1 beta|IL1B	AFFECTS	Oedema auricular	1	297
Interleukin-1 beta|IL1B	CAUSES	Osteoporosis	1	4418
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Tuberculosis	1	5750
Interleukin-1 beta|IL1B	AUGMENTS	Disease	1	67526
IL1B	ASSOCIATED_WITH	Arthritis, Psoriatic	1	1244
IL1B	AFFECTS	destruction; bone	1	929
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Chronic prostatitis	1	461
IL1B gene|IL1B	AUGMENTS	Disease	1	67526
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Corneal Diseases	1	2692
IL1B gene|IL1B	ASSOCIATED_WITH	Neurodegenerative Disorders	1	4400
IL1B gene|IL1B	ASSOCIATED_WITH	Tuberculosis, Pulmonary	1	2274
Interleukin-1 beta|IL1B	ASSOCIATED_WITH	Gastritis	2	1366
